Name,URL,Parent
Fire Science FAQs,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/faqs,Fire Science
Fire Science Contacts,https://www.southflorida.edu/current-students/degrees-programs/academics/fire-science/fire-science-contacts,Fire Science
Health Sciences,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences,N/A
Health Services,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/health-services,Health Sciences
Medical Administrative Specialist – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/medical-administrative-specialist,Health Sciences
Dental,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/dental,Health Sciences
Nursing,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/nursing,Health Sciences
Phlebotomy – CC,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/phlebotomy,Health Sciences
Radiography – AS,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/radiography-as,Health Sciences
Surgical Services,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/surgical-services,Health Sciences
Conference on Caring,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/conference-on-caring,Health Sciences
Fingerprinting Background Check,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/fingerprinting-background-check,Health Sciences
Advanced Patient Care Tech Apprenticeship,https://www.southflorida.edu/current-students/degrees-programs/academics/health-sciences/advanced-patient-care-tech-apprenticeship,Health Sciences
"Heating, Ventilation, Air-Conditioning/Refrigeration (HVAC/R)",https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr,N/A
"Heating, Ventilation, Air Conditioning/Refrigeration (HVAC/R) – CC",https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr/hvacr-cc,"Heating, Ventilation, Air-Conditioning/Refrigeration (HVAC/R)"
Commercial Air Conditioning – APP,https://www.southflorida.edu/current-students/degrees-programs/academics/hvacr/commercial-air-conditioning-app,"Heating, Ventilation, Air-Conditioning/Refrigeration (HVAC/R)"
Honors Program,https://www.southflorida.edu/current-students/degrees-programs/academics/honors-program,N/A
